Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,AI ML,Software Engineering,Business Analysis,Data Science,Role
Beginner,Entry-level,Beginner,Beginner,Beginner,Professional,Beginner,Not Interested,Beginner,Beginner,Beginner,Software Developer
Poor,Poor,Poor,,Poor,Professional,Poor,Poor,,Poor,Excellent,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Not Interested,Excellent,Excellent,Software Developer
Excellent,Excellent,Excellent,Excellent,Beginner,Professional,Excellent,Excellent,Excellent,Excellent,,Software Developer
Beginner,Beginner,Intermediate,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Entry-level,Novice,Software Developer
Average,Average,Average,Average,Intermediate,Professional,,Average,Average,Average,Average,Software Developer
Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,,Beginner,Beginner,Software Developer
Intermediate,Excellent,Average,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Average,Intermediate,Software Developer
Poor,Poor,Poor,Poor,Beginner,Professional,Poor,Poor,No Experience,Poor,Poor,Software Developer
Not Interested,Poor,Not Interested,No Experience,Not Interested,,Not Interested,,Not Interested,,Not Interested,Software Developer
,Beginner,Beginner,Beginner,,Professional,Beginner,Beginner,Novice,Beginner,Excellent,Software Developer
Beginner,Beginner,Entry-level,Beginner,Beginner,Professional,Beginner,Intermediate,Beginner,Beginner,Beginner,Software Developer
Beginner,Beginner,Novice,,Beginner,Professional,Beginner,Beginner,Average,Entry-level,,Software Developer
Not Interested,Not Interested,Not Interested,,Not Interested,Professional,,,Not Interested,Not Interested,Not Interested,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Advanced,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Poor,Poor,No Experience,No Experience,No Experience,Professional,No Experience,Poor,Poor,Poor,Intermediate,Software Developer
Average,Average,Average,Average,Beginner,Professional,Intermediate,Intermediate,Intermediate,Average,Average,Software Developer
No Experience,Poor,Poor,No Experience,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Software Developer
Beginner,,Beginner,Beginner,Novice,Professional,Beginner,Beginner,Novice,Beginner,Beginner,Software Developer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,,Not Interested,Not Interested,Software Developer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Software Developer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Advanced,Not Interested,Not Interested,No Experience,Excellent,Not Interested,Software Developer
Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
,Not Interested,Beginner,Beginner,Beginner,Professional,Novice,Beginner,Beginner,Beginner,Beginner,Software Developer
Not Interested,Not Interested,Not Interested,Average,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,,Excellent,Excellent,Poor,Software Developer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Software Developer
No Experience,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Intermediate,Not Interested,,Not Interested,Not Interested,Software Developer
Intermediate,Average,Average,Not Interested,Average,Expert,Average,Average,Average,Average,Average,Software Developer
Poor,Poor,Poor,Poor,Not Interested,Professional,No Experience,Poor,Poor,Poor,Poor,Software Developer
Excellent,Excellent,Excellent,,Excellent,,Excellent,Excellent,Excellent,Poor,Excellent,Software Developer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Software Developer
Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Entry-level,Beginner,Software Developer
Average,Intermediate,Intermediate,Intermediate,Intermediate,Expert,Intermediate,Average,Intermediate,Intermediate,Intermediate,Software Developer
No Experience,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
,Intermediate,,,Intermediate,Professional,Intermediate,,,Competent,,Software Developer
Beginner,Beginner,Beginner,Novice,Beginner,Professional,Novice,Beginner,Beginner,Novice,Poor,Software Developer
Intermediate,Intermediate,Intermediate,,Competent,Professional,Competent,Intermediate,Average,Competent,Intermediate,Software Developer
Poor,No Experience,Poor,Poor,Poor,,No Experience,Poor,Poor,Poor,Poor,Software Developer
Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Novice,Beginner,Beginner,Beginner,Beginner,Software Developer
Poor,Poor,Poor,Poor,Poor,Professional,Average,No Experience,Poor,Poor,Poor,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Intermediate,Intermediate,Intermediate,Not Interested,Average,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Software Developer
Poor,Poor,Poor,Excellent,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Software Developer
Intermediate,,Poor,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Average,Intermediate,Competent,Software Developer
Not Interested,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Intermediate,Intermediate,Intermediate,Average,Intermediate,Professional,Average,Intermediate,Intermediate,Intermediate,Intermediate,Software Developer
Poor,No Experience,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Software Developer
Beginner,Average,Average,Average,Average,Professional,Average,Average,Average,Average,Intermediate,Software Developer
Poor,,Poor,No Experience,Poor,Professional,Poor,Poor,Poor,No Experience,,Software Developer
Poor,Poor,Excellent,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Software Developer
Competent,Intermediate,Intermediate,Excellent,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Software Developer
Not Interested,Not Interested,Not Interested,Not Interested,Average,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Software Developer
Intermediate,Not Interested,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Software Developer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,,Intermediate,Intermediate,Intermediate,Software Developer
Not Interested,,Not Interested,,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Software Developer
Average,Intermediate,Intermediate,Average,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Software Developer
Beginner,Novice,Beginner,Beginner,Beginner,Professional,Entry-level,,Novice,Beginner,Beginner,Software Developer
Not Interested,,Excellent,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Software Developer
Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Not Interested,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,,,Intermediate,Software Developer
Intermediate,Competent,Intermediate,Intermediate,Intermediate,Professional,Average,Average,Intermediate,Intermediate,Intermediate,Software Developer
,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,,Not Interested,Not Interested,Not Interested,Software Developer
Intermediate,Beginner,Intermediate,Intermediate,Competent,Professional,,Intermediate,Intermediate,Intermediate,,Software Developer
Average,Average,Average,Average,Average,Professional,Average,Average,Average,Novice,Intermediate,Software Developer
Beginner,Beginner,Beginner,Not Interested,Beginner,Advanced,Beginner,Beginner,Beginner,Novice,Beginner,Software Developer
Not Interested,Not Interested,,Not Interested,Not Interested,Professional,,Not Interested,Not Interested,Not Interested,Not Interested,Software Developer
,Poor,Poor,Poor,Poor,Advanced,Beginner,No Experience,Poor,,,Software Developer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,,Intermediate,Intermediate,Software Developer
Poor,Poor,Poor,Average,Poor,Advanced,Poor,Poor,Poor,,Poor,Software Developer
Beginner,Beginner,Beginner,Beginner,Beginner,Expert,Beginner,Beginner,Beginner,Competent,Beginner,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Poor,Poor,Poor,Poor,Poor,Advanced,Poor,Poor,No Experience,Poor,Poor,Software Developer
Excellent,Excellent,Excellent,Poor,Excellent,Advanced,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Average,Intermediate,Intermediate,Intermediate,Intermediate,Software Developer
Beginner,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Not Interested,Software Developer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Software Developer
Average,Intermediate,Average,Average,Intermediate,Professional,Average,Average,Intermediate,,,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Not Interested,Not Interested,,,Not Interested,Advanced,,,Not Interested,Not Interested,,Software Developer
Average,Average,Average,Beginner,Average,Professional,,Intermediate,Average,Intermediate,Intermediate,Software Developer
Beginner,Beginner,Beginner,Beginner,Entry-level,Professional,Beginner,Beginner,Beginner,Excellent,,Software Developer
,Not Interested,No Experience,Not Interested,Not Interested,Professional,,Competent,Not Interested,Not Interested,Not Interested,Software Developer
Beginner,Beginner,,Beginner,Beginner,,Beginner,Beginner,Beginner,Beginner,Beginner,Software Developer
Beginner,Novice,Beginner,Beginner,Beginner,Advanced,Beginner,Beginner,Beginner,Beginner,Beginner,Software Developer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Competent,Intermediate,Average,Intermediate,Intermediate,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Average,Average,Intermediate,Average,Average,Professional,Average,Intermediate,Average,Average,Average,Software Developer
Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Entry-level,Beginner,Novice,Beginner,Software Developer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Average,Intermediate,Intermediate,,Software Developer
Excellent,Excellent,Excellent,Not Interested,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Beginner,Excellent,Beginner,Entry-level,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Excellent,,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,,Excellent,Software Developer
Average,Average,Average,Average,Average,Professional,Intermediate,Average,Average,Average,Average,Software Developer
Poor,Poor,Poor,No Experience,Poor,Professional,Poor,No Experience,Not Interested,Poor,Poor,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Advanced,Excellent,Excellent,,Intermediate,Excellent,Software Developer
Average,,Average,Average,Intermediate,Professional,Average,Average,Not Interested,Intermediate,Average,Software Developer
Beginner,Beginner,Novice,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Entry-level,Beginner,Software Developer
Average,Average,Average,Average,Excellent,Professional,Average,,Intermediate,Average,,Software Developer
Average,Average,Average,Intermediate,,Professional,Average,Average,Average,Average,Average,Software Developer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Software Developer
,Not Interested,Not Interested,Not Interested,Not Interested,Professional,,Not Interested,Not Interested,Not Interested,Not Interested,Software Developer
,Intermediate,Intermediate,Competent,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Software Developer
Poor,Poor,,Poor,Poor,,Poor,Poor,Excellent,Poor,Poor,Software Developer
Excellent,Excellent,Poor,Excellent,Excellent,Professional,Excellent,,Excellent,Excellent,Excellent,Software Developer
Beginner,,Beginner,,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Software Developer
Intermediate,Average,Intermediate,Competent,Average,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,,Excellent,Excellent,Excellent,Software Developer
,Beginner,Beginner,Beginner,Beginner,Advanced,Beginner,Novice,Beginner,Beginner,Beginner,Software Developer
Poor,Poor,Poor,Poor,No Experience,Professional,Poor,Intermediate,Poor,Poor,Poor,Software Developer
Average,Average,Average,Average,Average,Professional,Intermediate,,Intermediate,Intermediate,Poor,Software Developer
Beginner,Beginner,Entry-level,Beginner,Beginner,Professional,Novice,Beginner,Beginner,Not Interested,Beginner,Software Developer
Excellent,Average,Average,Average,Average,Expert,Average,Average,Intermediate,Average,Average,Software Developer
Intermediate,Intermediate,Intermediate,,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Average,Software Developer
Excellent,Excellent,,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Not Interested,Not Interested,,Not Interested,Beginner,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Software Developer
Average,Average,Not Interested,Average,Average,Professional,Average,Average,Average,Average,Average,Software Developer
Professional,Competent,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Software Developer
Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Intermediate,Poor,Software Developer
Beginner,Beginner,Beginner,Entry-level,Beginner,Professional,Beginner,Beginner,Beginner,,Beginner,Software Developer
Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Software Developer
Beginner,Beginner,Beginner,Beginner,,Professional,Beginner,Beginner,Beginner,Beginner,Average,Software Developer
Poor,Poor,,Poor,,Professional,Poor,Poor,Poor,,Poor,Software Developer
Not Interested,Not Interested,Not Interested,,Not Interested,Professional,Not Interested,Not Interested,No Experience,Not Interested,Not Interested,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Intermediate,Average,Intermediate,Intermediate,,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Software Developer
Not Interested,Not Interested,,Not Interested,Poor,Professional,Not Interested,,Not Interested,Not Interested,Not Interested,Software Developer
Average,Average,Intermediate,Intermediate,Average,Professional,Average,Intermediate,Intermediate,Intermediate,Average,Software Developer
Not Interested,Not Interested,Not Interested,,Not Interested,Professional,Not Interested,No Experience,Not Interested,Not Interested,Not Interested,Software Developer
,Not Interested,Not Interested,Not Interested,,Professional,Not Interested,Not Interested,,No Experience,Not Interested,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Intermediate,Intermediate,Intermediate,Beginner,Intermediate,Professional,Average,Intermediate,,Intermediate,Intermediate,Software Developer
Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Software Developer
Average,Intermediate,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Software Developer
Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Entry-level,Entry-level,Beginner,Beginner,Entry-level,Software Developer
Average,Intermediate,Average,Average,Average,Professional,Excellent,Average,Average,Average,Average,Software Developer
Beginner,Beginner,Average,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Software Developer
Not Interested,Not Interested,Poor,Not Interested,Not Interested,Advanced,,Not Interested,Not Interested,,Not Interested,Software Developer
Excellent,Excellent,Excellent,Excellent,,Expert,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Average,Average,,Average,Average,Professional,,Average,Average,Intermediate,Average,Software Developer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Software Developer
Beginner,,Beginner,Beginner,Beginner,Expert,Beginner,Beginner,Beginner,,Beginner,Software Developer
Average,Average,Average,Average,Average,Professional,Average,,Average,Average,Average,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,,Excellent,Excellent,Excellent,Software Developer
Poor,Poor,Average,Poor,,Professional,Poor,Poor,Poor,Poor,Poor,Software Developer
Intermediate,Competent,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Average,Intermediate,Software Developer
Poor,Average,Poor,,Poor,Professional,Poor,Poor,Poor,,Poor,Software Developer
Excellent,Excellent,Excellent,,Excellent,Professional,Average,Excellent,Excellent,Excellent,Excellent,Software Developer
Poor,,Intermediate,Poor,Poor,Professional,Poor,Poor,No Experience,Poor,Poor,Software Developer
Poor,Poor,Poor,Poor,Poor,Professional,Poor,Average,Poor,,Poor,Software Developer
Not Interested,Not Interested,Not Interested,Not Interested,,Professional,Not Interested,Average,Not Interested,Not Interested,Not Interested,Software Developer
,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Excellent,Excellent,Excellent,Excellent,Intermediate,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Average,Average,Average,Average,Average,Expert,Average,Average,Average,Average,Intermediate,Software Developer
No Experience,,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Software Developer
Average,Average,Average,Average,Average,Professional,Average,Average,Average,Intermediate,Excellent,Software Developer
Not Interested,Not Interested,,Not Interested,Not Interested,Professional,Not Interested,Not Interested,,Average,Not Interested,Software Developer
Average,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Software Developer
Not Interested,Not Interested,Not Interested,Not Interested,Excellent,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Software Developer
Beginner,Poor,Beginner,Beginner,Beginner,Advanced,Beginner,Beginner,Beginner,Beginner,Beginner,Software Developer
Not Interested,Not Interested,Not Interested,Novice,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Software Developer
Beginner,Entry-level,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Software Developer
Intermediate,Average,Average,Average,Average,Advanced,Average,Average,Average,Average,Average,Software Developer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Expert,Not Interested,,Not Interested,Not Interested,Not Interested,Software Developer
Not Interested,Not Interested,,Not Interested,Not Interested,Professional,Not Interested,,Not Interested,Not Interested,,Software Developer
No Experience,Poor,Poor,No Experience,No Experience,Professional,Poor,Poor,Poor,Poor,Poor,Software Developer
Average,Average,Average,Average,Intermediate,Professional,Average,Average,Average,Average,Average,Software Developer
Poor,Poor,Poor,Beginner,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Software Developer
Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,,,Beginner,Beginner,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Poor,,Poor,Poor,Poor,Professional,Poor,Poor,No Experience,Poor,Poor,Software Developer
Poor,Poor,Poor,Poor,Poor,Professional,,Poor,Poor,Poor,Poor,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Advanced,,Excellent,Excellent,Excellent,Excellent,Software Developer
Beginner,Beginner,Beginner,Beginner,Entry-level,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Software Developer
Poor,Poor,Poor,Poor,Poor,,Excellent,Poor,Poor,,Poor,Software Developer
Not Interested,Not Interested,Not Interested,Not Interested,,Professional,Not Interested,,Not Interested,Not Interested,Not Interested,Software Developer
Average,Average,Average,,Average,Professional,Average,Average,Average,Average,Average,Software Developer
Average,Not Interested,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Software Developer
Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Software Developer
Intermediate,,Intermediate,Average,Intermediate,Professional,Poor,Average,Average,Average,Average,Software Developer
No Experience,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Software Developer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Average,,Intermediate,Software Developer
Beginner,Beginner,Beginner,Intermediate,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Software Developer
Excellent,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Entry-level,Professional,Beginner,Novice,Software Developer
Intermediate,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,,Software Developer
,Poor,Poor,Poor,No Experience,Professional,,Poor,Poor,Poor,Poor,Software Developer
Intermediate,Intermediate,Intermediate,,Intermediate,Professional,Intermediate,Intermediate,Competent,Intermediate,Intermediate,Software Developer
Not Interested,Not Interested,Not Interested,Not Interested,,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Software Developer
Excellent,Excellent,,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Average,Average,Average,Intermediate,Average,Advanced,Average,,Average,Average,Average,Software Developer
Average,Intermediate,Average,Average,Intermediate,Professional,Intermediate,Average,Average,Intermediate,Average,Software Developer
Poor,Poor,Poor,Poor,Poor,Professional,No Experience,Poor,Poor,Poor,Not Interested,Software Developer
Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Software Developer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Not Interested,Average,Intermediate,Intermediate,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Professional,Poor,Poor,Poor,Poor,,Poor,Poor,Poor,Poor,Poor,Software Developer
Beginner,Beginner,Not Interested,Beginner,Beginner,,Beginner,Beginner,,Beginner,Beginner,Software Developer
Poor,Poor,,Poor,Poor,Professional,Poor,No Experience,Poor,Poor,Poor,Software Developer
Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Novice,Beginner,Beginner,Beginner,Software Developer
No Experience,Poor,Beginner,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Software Developer
Poor,Poor,Poor,Poor,Poor,Advanced,Poor,Poor,Poor,Poor,Poor,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Not Interested,Software Developer
,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Software Developer
Beginner,Beginner,Novice,,Beginner,Professional,,Beginner,Beginner,Beginner,,Software Developer
Poor,Poor,,Poor,No Experience,,Poor,Poor,Poor,Poor,Poor,Software Developer
,No Experience,Intermediate,Intermediate,Competent,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Software Developer
,,No Experience,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Software Developer
Poor,Poor,,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Software Developer
Not Interested,Not Interested,Not Interested,Not Interested,No Experience,Professional,Poor,Not Interested,Not Interested,Not Interested,,Software Developer
Beginner,Beginner,Beginner,Novice,Beginner,Professional,Beginner,Beginner,Beginner,,Entry-level,Software Developer
Average,Average,Average,Average,Average,Professional,Intermediate,Intermediate,Average,Intermediate,Average,Software Developer
Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,,Poor,Beginner,Beginner,Software Developer
Poor,Poor,Poor,Poor,Poor,Professional,Poor,Beginner,Poor,Poor,Poor,Software Developer
Average,Average,,Average,Average,Professional,Average,Average,,Average,Average,Software Developer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Software Developer
Average,Average,Average,Average,Intermediate,Professional,Average,Average,Average,Average,Average,Software Developer
,Not Interested,Not Interested,Not Interested,Intermediate,Expert,Not Interested,Not Interested,,Not Interested,,Software Developer
Beginner,Entry-level,Beginner,Beginner,Novice,Professional,Excellent,Beginner,Beginner,Beginner,Entry-level,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,,Not Interested,Not Interested,Not Interested,,Software Developer
Beginner,Beginner,Beginner,Beginner,,Professional,Beginner,Beginner,Beginner,Entry-level,Beginner,Software Developer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Software Developer
Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Not Interested,Poor,Software Developer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Beginner,,Not Interested,Software Developer
No Experience,Not Interested,Not Interested,Poor,Not Interested,Expert,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Average,Excellent,Software Developer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,,,Not Interested,Not Interested,,Software Developer
Intermediate,Poor,,Poor,Poor,Poor,Poor,Poor,Poor,,,Software Developer
Average,Average,Average,Average,Not Interested,Professional,Average,Average,Average,Average,Average,Software Developer
Excellent,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Software Developer
Beginner,Beginner,Beginner,Beginner,Poor,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Software Developer
Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Software Developer
Poor,Poor,,Poor,,Professional,Poor,Poor,,Poor,Beginner,Software Developer
Beginner,Beginner,Beginner,Poor,Novice,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Average,Average,Average,Average,Average,Professional,Intermediate,,Average,Average,Average,Software Developer
,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Software Developer
Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Advanced,Excellent,Average,Excellent,Excellent,Excellent,Software Developer
Poor,Poor,,No Experience,Poor,Professional,Poor,No Experience,Poor,No Experience,Poor,Software Developer
