Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,Project Management,Computer Forensics Fundamentals,Technical Communication,AI ML,Software Engineering,Business Analysis,Data Science,Troubleshooting skills,Role
Average,Average,,Average,Average,Average,Intermediate,Average,Intermediate,Average,,Average,Average,Average,Intermediate,AI ML Specialist
N/A,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,N/A,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Average,Hardware Engineer
Entry-level,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Entry-level,Novice,Beginner,Beginner,Beginner,Not Interested,Beginner,Beginner,Cyber Security Specialist
,Average,Average,Poor,Intermediate,Average,Average,Average,Average,Average,Average,,Average,Average,Average,Database Administrator
,Average,Average,Average,Average,Average,Average,Average,Intermediate,Average,Average,Average,Average,Excellent,Professional,Helpdesk Engineer
,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Poor,No Experience,Poor,Poor,Poor,,Poor,Poor,Poor,Poor,Not Interested,Poor,Poor,Poor,Poor,Customer Service Executive
Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Average,Intermediate,Poor,Professional,Intermediate,Competent,Business Analyst
Poor,Poor,Poor,Poor,Poor,No Experience,Not Interested,Poor,Poor,Poor,Expert,Poor,Poor,Poor,Poor,AI ML Specialist
,Beginner,Beginner,Novice,Beginner,Novice,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Software tester
Poor,Poor,No Experience,Poor,Poor,Professional,No Experience,Poor,Poor,Poor,Poor,No Experience,Excellent,No Experience,Poor,Software Developer
Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Intermediate,,Intermediate,Average,Database Administrator
Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Poor,Entry-level,Beginner,Novice,Beginner,Beginner,Software Developer
Intermediate,Professional,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Intermediate,Hardware Engineer
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Not Interested,Excellent,Excellent,Customer Service Executive
Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,,Average,Customer Service Executive
Intermediate,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Intermediate,Average,Networking Engineer
Excellent,Excellent,Excellent,Excellent,Excellent,,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Not Interested,API Specialist
Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Not Interested,Poor,Advanced,Poor,Data Scientist
Beginner,Beginner,Beginner,Beginner,Beginner,,Beginner,Excellent,Beginner,,Beginner,Professional,Entry-level,Beginner,Beginner,Software tester
,Intermediate,Not Interested,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,,Intermediate,Intermediate,Technical Writer
Expert,Excellent,Excellent,Intermediate,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Database Administrator
Average,Average,Average,Average,Average,Professional,Intermediate,Average,Intermediate,Average,Average,Average,Average,Intermediate,Average,Software Developer
Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,,,Poor,Poor,Poor,Poor,Poor,Information Security Specialist
Excellent,Excellent,Excellent,,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Average,Average,Average,Average,Average,Average,Average,Average,Intermediate,Average,Average,Intermediate,Professional,Average,Average,Business Analyst
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Not Interested,Excellent,Professional,Excellent,Excellent,Excellent,,,Technical Writer
Professional,Average,,Intermediate,Excellent,Average,Average,Average,Intermediate,Average,Intermediate,Average,Average,Average,Intermediate,Database Administrator
N/A,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Data Scientist
Average,Average,Average,Average,Excellent,Intermediate,Intermediate,Average,Average,Advanced,Average,Average,Average,Average,Average,Technical Writer
Not Interested,Not Interested,Not Interested,Not Interested,Advanced,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Networking Engineer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Excellent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Graphics Designer
Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Cyber Security Specialist
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,,Beginner,Beginner,Beginner,API Specialist
Poor,Poor,Poor,No Experience,Poor,Not Interested,Professional,Poor,Poor,Poor,,Poor,,,Poor,API Specialist
Not Interested,Not Interested,Not Interested,Poor,No Experience,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,API Specialist
Poor,Poor,Poor,Poor,Poor,,Poor,Poor,Poor,Poor,No Experience,Professional,Poor,Not Interested,Poor,Software tester
Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Beginner,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,AI ML Specialist
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,,Beginner,Beginner,Beginner,Not Interested,Beginner,Professional,Beginner,Beginner,Business Analyst
Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,,Poor,Poor,Professional,Helpdesk Engineer
,No Experience,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Expert,Poor,Poor,Poor,Poor,AI ML Specialist
Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Not Interested,Excellent,Excellent,Networking Engineer
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Beginner,Excellent,Excellent,Excellent,Excellent,Graphics Designer
Not Interested,N/A,Excellent,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,None,Not Interested,Not Interested,Not Interested,Not Interested,No Experience,Software Developer
Intermediate,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Intermediate,Average,Intermediate,Professional,Intermediate,Average,Intermediate,Intermediate,Intermediate,Technical Writer
Poor,Professional,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Hardware Engineer
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Intermediate,Information Security Specialist
Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Expert,Not Interested,Not Interested,Business Analyst
Professional,Average,Average,Average,Average,Excellent,Average,Average,Average,Average,Intermediate,Intermediate,Average,Average,Intermediate,Database Administrator
Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,No Experience,Poor,Poor,No Experience,Poor,Poor,Database Administrator
Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Excellent,Professional,Poor,Poor,Poor,Software tester
No Experience,Poor,Poor,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Poor,Average,Poor,Customer Service Executive
Poor,Professional,Poor,Poor,Poor,Poor,Poor,,Poor,Poor,Beginner,Poor,Poor,Poor,Poor,Hardware Engineer
Poor,,No Experience,Poor,Poor,,No Experience,Poor,Average,Poor,Poor,Professional,Poor,Poor,Poor,Software tester
Excellent,,Beginner,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Customer Service Executive
Average,,Average,Average,,Excellent,Average,Intermediate,Average,Professional,Average,Average,Average,Average,Average,Technical Writer
Average,Average,Average,Average,Intermediate,Average,Average,Intermediate,Average,Average,Intermediate,Average,Average,Professional,Average,Data Scientist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Excellent,N/A,Not Interested,Not Interested,N/A,Professional,Not Interested,Not Interested,Not Interested,Not Interested,AI ML Specialist
Average,,Average,Intermediate,Average,Average,Average,Intermediate,Intermediate,Average,Professional,Average,Average,Average,Average,AI ML Specialist
Beginner,Beginner,,Beginner,Beginner,Beginner,Novice,Beginner,Not Interested,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Software tester
Excellent,Excellent,Excellent,,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Networking Engineer
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Poor,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,,Business Analyst
Excellent,Excellent,Excellent,Professional,,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Cyber Security Specialist
Competent,Intermediate,,Competent,Intermediate,Excellent,Intermediate,Intermediate,Intermediate,Competent,Professional,Intermediate,Intermediate,Intermediate,Intermediate,AI ML Specialist
Average,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Average,,Average,Average,,Information Security Specialist
Poor,Average,Poor,Poor,No Experience,,Poor,,Poor,,No Experience,Poor,Poor,,Poor,Technical Writer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,None,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Software tester
Beginner,Beginner,Not Interested,Beginner,Beginner,,Beginner,Beginner,Beginner,Novice,Beginner,,Beginner,Beginner,Beginner,Software Developer
Intermediate,Intermediate,Intermediate,,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Customer Service Executive
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,,Professional,Beginner,Entry-level,Beginner,Software tester
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Not Interested,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Information Security Specialist
,Poor,Poor,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Poor,,Poor,Poor,Customer Service Executive
,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Poor,Beginner,Novice,Beginner,Beginner,Cyber Security Specialist
Poor,Poor,Not Interested,,Poor,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Poor,Cyber Security Specialist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Average,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Technical Writer
Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Networking Engineer
Poor,Poor,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Poor,Intermediate,Professional,Poor,Data Scientist
Intermediate,Intermediate,Intermediate,Average,,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Excellent,Intermediate,Intermediate,API Specialist
Excellent,Excellent,Excellent,Excellent,Excellent,Intermediate,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Software tester
Average,Average,Average,Average,Average,Average,Average,Intermediate,Average,Average,Average,Average,Average,Average,Professional,Helpdesk Engineer
Excellent,Excellent,,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Beginner,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Average,Intermediate,Intermediate,Technical Writer
Poor,Poor,Poor,No Experience,Poor,Beginner,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Graphics Designer
Beginner,Beginner,Beginner,Beginner,Average,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Entry-level,Beginner,API Specialist
Entry-level,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Average,Beginner,Professional,Beginner,Beginner,Business Analyst
Novice,Not Interested,N/A,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,N/A,Not Interested,,Not Interested,API Specialist
No Experience,Poor,Poor,Poor,No Experience,Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Average,Professional,Poor,Data Scientist
Professional,Not Interested,Not Interested,No Experience,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,None,,Not Interested,Database Administrator
Excellent,,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Database Administrator
Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Not Interested,N/A,Not Interested,Not Interested,N/A,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Data Scientist
Not Interested,,Not Interested,Intermediate,Not Interested,Not Interested,Expert,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,API Specialist
Average,Not Interested,Average,Average,Average,Professional,Average,Average,Average,Intermediate,Average,Average,Average,Average,Intermediate,Software Developer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Competent,Competent,Graphics Designer
,Not Interested,Not Interested,Professional,Poor,Not Interested,Not Interested,None,Not Interested,Not Interested,Not Interested,Not Interested,No Experience,Not Interested,Not Interested,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Excellent,Professional,Not Interested,Not Interested,Not Interested,Not Interested,AI ML Specialist
Intermediate,Not Interested,Competent,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Cyber Security Specialist
Intermediate,Poor,Poor,Poor,Poor,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Professional,Poor,Poor,Business Analyst
Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Customer Service Executive
Beginner,Beginner,Beginner,Beginner,Entry-level,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,,Software Developer
Not Interested,Not Interested,N/A,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Novice,Software Developer
Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Professional,Beginner,Excellent,Business Analyst
Intermediate,Not Interested,Not Interested,Not Interested,Professional,N/A,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Networking Engineer
Professional,No Experience,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Database Administrator
Poor,Poor,Beginner,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Business Analyst
,Poor,Poor,Poor,Poor,Poor,Poor,No Experience,Poor,No Experience,Poor,Professional,Poor,Intermediate,Poor,Software tester
Not Interested,Average,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Data Scientist
Professional,Intermediate,Intermediate,Intermediate,Intermediate,Not Interested,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,,Intermediate,Intermediate,Database Administrator
Average,Intermediate,Average,Average,Average,,Average,Average,Average,Beginner,Average,Average,Average,Average,Intermediate,Graphics Designer
Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,AI ML Specialist
Intermediate,Average,Intermediate,Average,Average,Average,Poor,,Average,Intermediate,Average,Average,Average,Professional,Average,Data Scientist
Average,Average,Average,Average,Average,Professional,Average,Intermediate,Average,Intermediate,Average,Average,Average,Average,Average,Software Developer
Entry-level,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Novice,,Beginner,Beginner,Technical Writer
Beginner,Beginner,Beginner,Beginner,Expert,Beginner,Beginner,Beginner,Novice,Beginner,Beginner,Beginner,,,Not Interested,Networking Engineer
Average,Average,Average,Professional,Average,Beginner,Average,Average,Average,Average,Average,Intermediate,Intermediate,Intermediate,Average,Cyber Security Specialist
Beginner,Beginner,Beginner,Beginner,,Beginner,Beginner,Beginner,,Beginner,Average,Beginner,Beginner,Beginner,Beginner,Customer Service Executive
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,,Not Interested,Poor,Not Interested,Technical Writer
Average,Intermediate,Competent,Average,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Professional,Helpdesk Engineer
Intermediate,Average,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Advanced,Intermediate,Intermediate,,Entry-level,Intermediate,Intermediate,Information Security Specialist
Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Not Interested,Excellent,Excellent,,Software Developer
Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,,Not Interested,Not Interested,Software tester
Average,Average,Average,Excellent,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Networking Engineer
Average,Average,,Average,Not Interested,Intermediate,Average,Average,Average,Average,Average,Average,Professional,Average,,Business Analyst
Professional,Beginner,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Database Administrator
Not Interested,Not Interested,Not Interested,Not Interested,Professional,None,Not Interested,Not Interested,None,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Networking Engineer
Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,,Poor,Networking Engineer
Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Intermediate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Beginner,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Helpdesk Engineer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Average,Average,Average,Intermediate,Intermediate,Information Security Specialist
Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Professional,,Intermediate,Business Analyst
Not Interested,Not Interested,,Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,N/A,Not Interested,Professional,Helpdesk Engineer
Poor,,No Experience,Poor,Poor,Poor,Average,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Helpdesk Engineer
Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Average,Excellent,Database Administrator
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,Not Interested,Customer Service Executive
Professional,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,No Experience,Not Interested,None,Not Interested,,Not Interested,Database Administrator
Excellent,Excellent,Excellent,Excellent,,Professional,Excellent,Excellent,Not Interested,Excellent,Excellent,Excellent,Excellent,,Excellent,Software Developer
Beginner,Beginner,Beginner,Beginner,Beginner,,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,API Specialist
Beginner,Beginner,Beginner,Beginner,Novice,Novice,Beginner,Beginner,Beginner,Average,Beginner,Novice,Beginner,Beginner,Beginner,Customer Service Executive
Intermediate,Intermediate,Beginner,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Technical Writer
Beginner,Beginner,Beginner,Beginner,Beginner,Entry-level,Professional,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,API Specialist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Beginner,Competent,Intermediate,Intermediate,Average,Technical Writer
Not Interested,,Not Interested,Not Interested,No Experience,Not Interested,Excellent,Not Interested,Professional,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Information Security Specialist
Intermediate,Excellent,Average,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,Software Developer
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Novice,Professional,,Beginner,Beginner,Beginner,Beginner,Beginner,Information Security Specialist
Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Intermediate,Graphics Designer
Intermediate,Entry-level,Average,Average,Average,Average,Average,Intermediate,Professional,Average,Intermediate,Average,Intermediate,Average,Average,Information Security Specialist
Average,Average,Average,Average,Average,Professional,Average,Average,Not Interested,Average,Average,Average,Average,Average,Average,Software Developer
Intermediate,Average,Average,Average,Average,Average,Average,Intermediate,Average,Average,Professional,Average,Average,Poor,Average,AI ML Specialist
Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Novice,Poor,Poor,,Poor,Professional,Helpdesk Engineer
Average,Intermediate,Average,Average,Intermediate,Intermediate,Average,Average,Average,Intermediate,Professional,Average,Average,Intermediate,Average,AI ML Specialist
Average,Average,Average,Average,Average,Poor,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Technical Writer
Excellent,Intermediate,Excellent,,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Business Analyst
No Experience,Poor,Poor,Poor,Professional,Poor,Not Interested,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Networking Engineer
Beginner,,Beginner,Beginner,Novice,Professional,Beginner,Excellent,Beginner,Beginner,Beginner,Novice,Beginner,Beginner,Beginner,Software Developer
Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Excellent,Intermediate,Intermediate,Intermediate,Intermediate,API Specialist
Professional,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Poor,Database Administrator
Average,Average,Average,Average,Average,Average,Average,No Experience,Average,Average,,Average,Average,Average,Average,AI ML Specialist
Poor,Professional,Poor,Intermediate,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Hardware Engineer
Intermediate,Average,Average,Intermediate,Not Interested,Average,Average,Average,Average,Average,Average,Average,Average,Average,Professional,Helpdesk Engineer
Excellent,Excellent,Average,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,AI ML Specialist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,,Intermediate,Intermediate,Software Developer
Beginner,,Novice,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,,Novice,Expert,Beginner,Beginner,Beginner,Software tester
,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,,Information Security Specialist
Beginner,Beginner,Beginner,Entry-level,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Expert,,Data Scientist
Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Intermediate,Not Interested,,Database Administrator
Beginner,Beginner,Entry-level,Beginner,Beginner,Beginner,Excellent,Beginner,,,,Expert,Beginner,Beginner,Beginner,Software tester
Poor,Poor,Poor,Average,Poor,Poor,Poor,Poor,Professional,Poor,No Experience,Poor,Poor,Poor,Poor,Information Security Specialist
Poor,Poor,Poor,,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,API Specialist
Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Data Scientist
Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Poor,Professional,Intermediate,Data Scientist
Intermediate,Intermediate,Poor,Intermediate,Professional,Competent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Networking Engineer
Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Poor,Intermediate,Intermediate,Average,Intermediate,Hardware Engineer
Beginner,Beginner,Beginner,Beginner,,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Information Security Specialist
Not Interested,No Experience,Not Interested,Not Interested,Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,None,Not Interested,Software tester
Average,Average,Average,Average,Average,Average,Average,Average,Poor,Average,Average,Average,Average,Average,,Customer Service Executive
Poor,No Experience,Poor,Intermediate,Poor,No Experience,Poor,Poor,Poor,Poor,Advanced,Poor,Poor,Poor,Poor,AI ML Specialist
Not Interested,Not Interested,Intermediate,Not Interested,,Not Interested,,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Networking Engineer
Beginner,Intermediate,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Software Developer
Intermediate,Intermediate,Intermediate,Excellent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Expert,Intermediate,Competent,Intermediate,Intermediate,Competent,Technical Writer
Professional,None,None,Not Interested,N/A,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,No Experience,Not Interested,Not Interested,Database Administrator
Not Interested,Not Interested,Not Interested,Not Interested,Excellent,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Software Developer
Excellent,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Software tester
Professional,Not Interested,Not Interested,Not Interested,No Experience,Not Interested,Not Interested,Not Interested,Not Interested,,,,Excellent,Not Interested,Not Interested,Database Administrator
Average,Average,Average,Average,Average,Intermediate,Average,Average,Poor,Average,Average,Average,Average,Average,Average,Graphics Designer
